3122 24 5001 189|CSE101|2025-09-15|1|P
3122 24 5001 189|CSE101|2025-09-15|2|P
3122 24 5001 189|CSE102|2025-09-15|3|A
3122 24 5001 189|CSE103|2025-09-15|5|P
3122 24 5001 189|CSE101|2025-09-16|1|P
3122 24 5001 189|-|2025-10-09|3|NC
3122 24 5001 189|-|2025-10-09|2|NC
3122 24 5001 189|-|2025-10-09|1|NC
3122 24 5001 189|-|2025-10-09|1|NC
3122 24 5001 189|-|2025-10-09|2|NC
3122 24 5001 189|-|2025-10-09|3|NC
3122 24 5001 189|-|2025-10-09|4|NC
3122 24 5001 189|-|2025-10-09|5|NC
3122 24 5001 189|-|2025-10-09|6|NC
3122 24 5001 189|-|2025-10-09|7|NC
3122 24 5001 189|-|2025-10-09|8|NC
3122 24 5001 190|CSE101|2025-10-14|1|P
3122 24 5001 185|CSE101|2025-10-14|1|P
3122 24 5001 201|CSE101|2025-10-14|1|P
3122 24 5001 189|CSE101|2025-10-14|1|P
3122 24 5001 189|-|2025-10-14|2|NC
3122 24 5001 189|CSE304|2025-10-19|6|P
